1000014|RICE PARTNERS II L P|SC 13D|1997-03-14|edgar/data/1000014/0000930661-97-000604.txt|edgar/data/1000014/0000930661-97-000604-index.html
1000015|META GROUP INC|SC 13G/A|1997-01-30|edgar/data/1000015/0000941407-97-000032.txt|edgar/data/1000015/0000941407-97-000032-index.html
1000015|META GROUP INC|SC 13G/A|1997-02-12|edgar/data/1000015/0000950129-97-000571.txt|edgar/data/1000015/0000950129-97-000571-index.html
1000015|META GROUP INC|SC 13G|1997-02-12|edgar/data/1000015/0000080255-97-000155.txt|edgar/data/1000015/0000080255-97-000155-index.html
1000015|META GROUP INC|SC 13G|1997-02-13|edgar/data/1000015/0001000015-97-000003.txt|edgar/data/1000015/0001000015-97-000003-index.html
1000015|META GROUP INC|SC 13G|1997-02-13|edgar/data/1000015/0001000015-97-000005.txt|edgar/data/1000015/0001000015-97-000005-index.html
1000015|META GROUP INC|SC 13G|1997-02-13|edgar/data/1000015/0001000015-97-000006.txt|edgar/data/1000015/0001000015-97-000006-index.html
1000015|META GROUP INC|SC 13G|1997-02-13|edgar/data/1000015/0001000015-97-000008.txt|edgar/data/1000015/0001000015-97-000008-index.html
1000015|META GROUP INC|SC 13G|1997-02-13|edgar/data/1000015/0001000015-97-000009.txt|edgar/data/1000015/0001000015-97-000009-index.html
1000015|META GROUP INC|SC 13G|1997-03-19|edgar/data/1000015/0000943152-97-000348.txt|edgar/data/1000015/0000943152-97-000348-index.html
1000027|MUELLER PAUL /MO|SC 13G|1997-01-21|edgar/data/1000027/0000068726-97-000002.txt|edgar/data/1000027/0000068726-97-000002-index.html
1000045|NICHOLAS FINANCIAL INC|8-K|1997-02-11|edgar/data/1000045/0001000045-97-000002.txt|edgar/data/1000045/0001000045-97-000002-index.html
1000048|TECHNOLOGY FLAVORS & FRAGRANCES INC|4|1997-01-10|edgar/data/1000048/0000912057-97-000688.txt|edgar/data/1000048/0000912057-97-000688-index.html
1000050|LENOX BANCORP INC|10-K405|1997-03-28|edgar/data/1000050/0000912057-97-010791.txt|edgar/data/1000050/0000912057-97-010791-index.html
1000050|LENOX BANCORP INC|DEF 14A|1997-03-21|edgar/data/1000050/0000912057-97-009661.txt|edgar/data/1000050/0000912057-97-009661-index.html
1000050|LENOX BANCORP INC|SC 13G|1997-02-13|edgar/data/1000050/0000909654-97-000057.txt|edgar/data/1000050/0000909654-97-000057-index.html
1000069|TEXAS CAPITAL VALUE FUNDS INC|485APOS|1997-02-13|edgar/data/1000069/0001000069-97-000003.txt|edgar/data/1000069/0001000069-97-000003-index.html
1000069|TEXAS CAPITAL VALUE FUNDS INC|N-18F1|1997-01-09|edgar/data/1000069/0001000069-97-000001.txt|edgar/data/1000069/0001000069-97-000001-index.html
1000069|TEXAS CAPITAL VALUE FUNDS INC|N-30B-2|1997-02-25|edgar/data/1000069/0001000069-97-000004.txt|edgar/data/1000069/0001000069-97-000004-index.html
1000072|LIPPER FUNDS INC|24F-2NT|1997-02-27|edgar/data/1000072/0000949365-97-000016.txt|edgar/data/1000072/0000949365-97-000016-index.html
1000072|LIPPER FUNDS INC|24F-2NT|1997-02-27|edgar/data/1000072/0000949365-97-000018.txt|edgar/data/1000072/0000949365-97-000018-index.html
1000072|LIPPER FUNDS INC|DEF 14A|1997-02-25|edgar/data/1000072/0000893750-97-000088.txt|edgar/data/1000072/0000893750-97-000088-index.html
1000072|LIPPER FUNDS INC|N-30D|1997-03-06|edgar/data/1000072/0000950110-97-000410.txt|edgar/data/1000072/0000950110-97-000410-index.html
1000072|LIPPER FUNDS INC|NSAR-B|1997-02-28|edgar/data/1000072/0001000072-97-000001.txt|edgar/data/1000072/0001000072-97-000001-index.html
1000072|LIPPER FUNDS INC|PRES14A|1997-01-30|edgar/data/1000072/0000893750-97-000033.txt|edgar/data/1000072/0000893750-97-000033-index.html
1000076|EQUITY INCOME FUND TELE GLOBAL TRUST 2 DEFINED ASSET FUNDS|24F-2NT|1997-03-27|edgar/data/1000076/0000934850-97-001504.txt|edgar/data/1000076/0000934850-97-001504-index.html
1000077|SMITH BARNEY CONCERT SERIES INC|24F-2NT|1997-03-21|edgar/data/1000077/0000091155-97-000154.txt|edgar/data/1000077/0000091155-97-000154-index.html
1000077|SMITH BARNEY CONCERT SERIES INC|485APOS|1997-02-13|edgar/data/1000077/0000091155-97-000079.txt|edgar/data/1000077/0000091155-97-000079-index.html
1000077|SMITH BARNEY CONCERT SERIES INC|497|1997-01-28|edgar/data/1000077/0000091155-97-000047.txt|edgar/data/1000077/0000091155-97-000047-index.html
1000077|SMITH BARNEY CONCERT SERIES INC|497|1997-02-24|edgar/data/1000077/0000091155-97-000092.txt|edgar/data/1000077/0000091155-97-000092-index.html
1000077|SMITH BARNEY CONCERT SERIES INC|497|1997-03-07|edgar/data/1000077/0000091155-97-000125.txt|edgar/data/1000077/0000091155-97-000125-index.html
1000077|SMITH BARNEY CONCERT SERIES INC|NSAR-B|1997-03-26|edgar/data/1000077/0000091155-97-000161.txt|edgar/data/1000077/0000091155-97-000161-index.html
1000079|SC&T INTERNATIONAL INC|10QSB|1997-02-14|edgar/data/1000079/0000950147-97-000071.txt|edgar/data/1000079/0000950147-97-000071-index.html
1000079|SC&T INTERNATIONAL INC|SC 13D|1997-03-07|edgar/data/1000079/0000950116-97-000432.txt|edgar/data/1000079/0000950116-97-000432-index.html
1000095|LANE ALTMAN & OWENS|SC 13D/A|1997-01-21|edgar/data/1000095/0000903893-97-000051.txt|edgar/data/1000095/0000903893-97-000051-index.html
1000095|LANE ALTMAN & OWENS|SC 13D/A|1997-01-28|edgar/data/1000095/0000903893-97-000102.txt|edgar/data/1000095/0000903893-97-000102-index.html
1000095|LANE ALTMAN & OWENS|SC 13D/A|1997-03-11|edgar/data/1000095/0000903893-97-000450.txt|edgar/data/1000095/0000903893-97-000450-index.html
1000095|LANE ALTMAN & OWENS|SC 13D/A|1997-03-26|edgar/data/1000095/0000912057-97-010100.txt|edgar/data/1000095/0000912057-97-010100-index.html
1000095|LANE ALTMAN & OWENS|SC 13D/A|1997-03-26|edgar/data/1000095/0000912057-97-010197.txt|edgar/data/1000095/0000912057-97-010197-index.html
1000095|LANE ALTMAN & OWENS|SC 13D|1997-02-18|edgar/data/1000095/0000903893-97-000334.txt|edgar/data/1000095/0000903893-97-000334-index.html
1000095|LANE ALTMAN & OWENS|SC 13D|1997-02-20|edgar/data/1000095/0000903893-97-000351.txt|edgar/data/1000095/0000903893-97-000351-index.html
1000095|LANE ALTMAN & OWENS|SC 13D|1997-02-27|edgar/data/1000095/0000903893-97-000396.txt|edgar/data/1000095/0000903893-97-000396-index.html
1000097|KINGDON CAPITAL MANAGEMENT CORP|SC 13D|1997-01-21|edgar/data/1000097/0000919574-97-000046.txt|edgar/data/1000097/0000919574-97-000046-index.html
1000097|KINGDON CAPITAL MANAGEMENT CORP|SC 13G|1997-02-13|edgar/data/1000097/0000919574-97-000170.txt|edgar/data/1000097/0000919574-97-000170-index.html
1000112|CHEVY CHASE MASTER CREDIT CARD TRUST II|8-K|1997-01-22|edgar/data/1000112/0000945197-97-000006.txt|edgar/data/1000112/0000945197-97-000006-index.html
1000112|CHEVY CHASE MASTER CREDIT CARD TRUST II|8-K|1997-02-26|edgar/data/1000112/0000920628-97-000002.txt|edgar/data/1000112/0000920628-97-000002-index.html
1000112|CHEVY CHASE MASTER CREDIT CARD TRUST II|8-K|1997-03-27|edgar/data/1000112/0000920628-97-000010.txt|edgar/data/1000112/0000920628-97-000010-index.html
1000161|UNION PROPERTY INVESTORS INC|15-12G|1997-03-03|edgar/data/1000161/0000910643-97-000008.txt|edgar/data/1000161/0000910643-97-000008-index.html
1000161|UNION PROPERTY INVESTORS INC|SC 13G/A|1997-02-13|edgar/data/1000161/0000890587-97-000015.txt|edgar/data/1000161/0000890587-97-000015-index.html
1000166|SONICS & MATERIALS INC|10QSB|1997-02-13|edgar/data/1000166/0001000166-97-000004.txt|edgar/data/1000166/0001000166-97-000004-index.html
1000166|SONICS & MATERIALS INC|POS AM|1997-01-09|edgar/data/1000166/0001000166-97-000002.txt|edgar/data/1000166/0001000166-97-000002-index.html
1000166|SONICS & MATERIALS INC|POS AM|1997-02-14|edgar/data/1000166/0001000166-97-000006.txt|edgar/data/1000166/0001000166-97-000006-index.html
1000168|SONOMA RESOURCE CORP|SC 13G|1997-02-14|edgar/data/1000168/0000864047-97-000130.txt|edgar/data/1000168/0000864047-97-000130-index.html
1000169|INSTITUTIONAL INVESTOR PORTFOLIO|PRES14C|1997-01-16|edgar/data/1000169/0000950133-97-000110.txt|edgar/data/1000169/0000950133-97-000110-index.html
1000178|RENAISSANCE HOTEL GROUP N V|6-K|1997-01-07|edgar/data/1000178/0000950152-97-000114.txt|edgar/data/1000178/0000950152-97-000114-index.html
1000178|RENAISSANCE HOTEL GROUP N V|6-K|1997-02-13|edgar/data/1000178/0000950152-97-000935.txt|edgar/data/1000178/0000950152-97-000935-index.html
1000178|RENAISSANCE HOTEL GROUP N V|6-K|1997-02-20|edgar/data/1000178/0000928385-97-000325.txt|edgar/data/1000178/0000928385-97-000325-index.html
1000178|RENAISSANCE HOTEL GROUP N V|S-8|1997-01-17|edgar/data/1000178/0000950152-97-000283.txt|edgar/data/1000178/0000950152-97-000283-index.html
1000178|RENAISSANCE HOTEL GROUP N V|SC 13G/A|1997-01-27|edgar/data/1000178/0000766524-97-000013.txt|edgar/data/1000178/0000766524-97-000013-index.html
1000178|RENAISSANCE HOTEL GROUP N V|SC 13G|1997-02-11|edgar/data/1000178/0000912938-97-000159.txt|edgar/data/1000178/0000912938-97-000159-index.html
1000178|RENAISSANCE HOTEL GROUP N V|SC 14D1/A|1997-02-28|edgar/data/1000178/0000928385-97-000392.txt|edgar/data/1000178/0000928385-97-000392-index.html
1000178|RENAISSANCE HOTEL GROUP N V|SC 14D1/A|1997-03-13|edgar/data/1000178/0000928385-97-000423.txt|edgar/data/1000178/0000928385-97-000423-index.html
1000178|RENAISSANCE HOTEL GROUP N V|SC 14D1/A|1997-03-24|edgar/data/1000178/0000928385-97-000482.txt|edgar/data/1000178/0000928385-97-000482-index.html
1000178|RENAISSANCE HOTEL GROUP N V|SC 14D1/A|1997-03-31|edgar/data/1000178/0000950109-97-002690.txt|edgar/data/1000178/0000950109-97-002690-index.html
