1000032|BINCH JAMES G|4|2013-03-04|edgar/data/1000032/0001181431-13-014069.txt|edgar/data/1000032/0001181431-13-014069-index.html
1000045|NICHOLAS FINANCIAL INC|10-Q|2013-02-08|edgar/data/1000045/0001193125-13-046001.txt|edgar/data/1000045/0001193125-13-046001-index.html
1000045|NICHOLAS FINANCIAL INC|4|2013-01-09|edgar/data/1000045/0001000045-13-000001.txt|edgar/data/1000045/0001000045-13-000001-index.html
1000045|NICHOLAS FINANCIAL INC|8-K|2013-01-30|edgar/data/1000045/0001193125-13-029629.txt|edgar/data/1000045/0001193125-13-029629-index.html
1000045|NICHOLAS FINANCIAL INC|8-K|2013-02-19|edgar/data/1000045/0001193125-13-064817.txt|edgar/data/1000045/0001193125-13-064817-index.html
1000045|NICHOLAS FINANCIAL INC|8-K|2013-03-20|edgar/data/1000045/0001193125-13-117362.txt|edgar/data/1000045/0001193125-13-117362-index.html
1000045|NICHOLAS FINANCIAL INC|SC 13G|2013-02-14|edgar/data/1000045/0000846087-13-000024.txt|edgar/data/1000045/0000846087-13-000024-index.html
1000045|NICHOLAS FINANCIAL INC|SC 13G|2013-02-14|edgar/data/1000045/0000902219-13-000333.txt|edgar/data/1000045/0000902219-13-000333-index.html
"1000069|EMPIRIC FUNDS, INC|485BPOS|2013-01-15|edgar/data/1000069/0000894189-13-000203.txt|edgar/data/1000069/0000894189-13-000203-index.html"
"1000069|EMPIRIC FUNDS, INC|497J|2013-01-04|edgar/data/1000069/0000894189-13-000047.txt|edgar/data/1000069/0000894189-13-000047-index.html"
"1000069|EMPIRIC FUNDS, INC|DEF 14A|2013-02-08|edgar/data/1000069/0000894189-13-000769.txt|edgar/data/1000069/0000894189-13-000769-index.html"
"1000069|EMPIRIC FUNDS, INC|N-Q|2013-02-26|edgar/data/1000069/0000894189-13-001066.txt|edgar/data/1000069/0000894189-13-001066-index.html"
"1000069|EMPIRIC FUNDS, INC|PRE 14A|2013-01-08|edgar/data/1000069/0000894189-13-000099.txt|edgar/data/1000069/0000894189-13-000099-index.html"
"1000097|KINGDON CAPITAL MANAGEMENT, L.L.C.|13F-HR|2013-02-14|edgar/data/1000097/0000919574-13-001835.txt|edgar/data/1000097/0000919574-13-001835-index.html"
"1000097|KINGDON CAPITAL MANAGEMENT, L.L.C.|SC 13G/A|2013-02-14|edgar/data/1000097/0000919574-13-001837.txt|edgar/data/1000097/0000919574-13-001837-index.html"
"1000097|KINGDON CAPITAL MANAGEMENT, L.L.C.|SC 13G/A|2013-02-14|edgar/data/1000097/0000919574-13-001845.txt|edgar/data/1000097/0000919574-13-001845-index.html"
"1000097|KINGDON CAPITAL MANAGEMENT, L.L.C.|SC 13G|2013-02-20|edgar/data/1000097/0000919574-13-001964.txt|edgar/data/1000097/0000919574-13-001964-index.html"
"1000148|LEGACY CAPITAL FUND, INC.|X-17A-5|2013-03-01|edgar/data/1000148/9999999997-13-003516.txt|edgar/data/1000148/9999999997-13-003516-index.html"
"1000151|GREENWICH FINANCIAL SERVICES, L.L.C.|FOCUSN|2013-03-01|edgar/data/1000151/9999999997-13-006250.txt|edgar/data/1000151/9999999997-13-006250-index.html"
"1000151|GREENWICH FINANCIAL SERVICES, L.L.C.|X-17A-5|2013-03-01|edgar/data/1000151/9999999997-13-003350.txt|edgar/data/1000151/9999999997-13-003350-index.html"
