1000015|META GROUP INC|SC 13G|1996-06-19|edgar/data/1000015/0000941407-96-000008.txt|edgar/data/1000015/0000941407-96-000008-index.html
1000026|ROENIGK MARRIN A /DC/|SC 13D/A|1996-05-24|edgar/data/1000026/0000835176-96-000009.txt|edgar/data/1000026/0000835176-96-000009-index.html
1000045|NICHOLAS FINANCIAL INC|10KSB|1996-06-26|edgar/data/1000045/0001000045-96-000003.txt|edgar/data/1000045/0001000045-96-000003-index.html
1000048|TECHNOLOGY FLAVORS & FRAGRANCES INC|10QSB|1996-05-15|edgar/data/1000048/0000950112-96-001556.txt|edgar/data/1000048/0000950112-96-001556-index.html
1000048|TECHNOLOGY FLAVORS & FRAGRANCES INC|8-K|1996-06-12|edgar/data/1000048/0000950112-96-001981.txt|edgar/data/1000048/0000950112-96-001981-index.html
1000050|LENOX BANCORP INC|424B3|1996-05-30|edgar/data/1000050/0000912057-96-011064.txt|edgar/data/1000050/0000912057-96-011064-index.html
1000069|TEXAS CAPITAL VALUE FUNDS INC|485APOS|1996-06-12|edgar/data/1000069/0001000069-96-000013.txt|edgar/data/1000069/0001000069-96-000013-index.html
1000069|TEXAS CAPITAL VALUE FUNDS INC|485BPOS|1996-05-28|edgar/data/1000069/0001000069-96-000011.txt|edgar/data/1000069/0001000069-96-000011-index.html
1000069|TEXAS CAPITAL VALUE FUNDS INC|NSAR-A|1996-06-04|edgar/data/1000069/0001000069-96-000012.txt|edgar/data/1000069/0001000069-96-000012-index.html
1000077|SMITH BARNEY CONCERT SERIES INC|497|1996-06-21|edgar/data/1000077/0000091155-96-000241.txt|edgar/data/1000077/0000091155-96-000241-index.html
1000095|LANE ALTMAN & OWENS|SC 13D/A|1996-04-10|edgar/data/1000095/0000903893-96-000142.txt|edgar/data/1000095/0000903893-96-000142-index.html
1000095|LANE ALTMAN & OWENS|SC 13D/A|1996-04-16|edgar/data/1000095/0000903893-96-000147.txt|edgar/data/1000095/0000903893-96-000147-index.html
1000095|LANE ALTMAN & OWENS|SC 13D/A|1996-04-22|edgar/data/1000095/0000903893-96-000158.txt|edgar/data/1000095/0000903893-96-000158-index.html
1000095|LANE ALTMAN & OWENS|SC 13D/A|1996-05-02|edgar/data/1000095/0000903893-96-000190.txt|edgar/data/1000095/0000903893-96-000190-index.html
1000095|LANE ALTMAN & OWENS|SC 13D/A|1996-05-15|edgar/data/1000095/0000903893-96-000257.txt|edgar/data/1000095/0000903893-96-000257-index.html
1000095|LANE ALTMAN & OWENS|SC 13D/A|1996-05-16|edgar/data/1000095/0000903893-96-000259.txt|edgar/data/1000095/0000903893-96-000259-index.html
1000095|LANE ALTMAN & OWENS|SC 13D|1996-04-04|edgar/data/1000095/0000903893-96-000130.txt|edgar/data/1000095/0000903893-96-000130-index.html
1000095|LANE ALTMAN & OWENS|SC 13D|1996-04-30|edgar/data/1000095/0000903893-96-000188.txt|edgar/data/1000095/0000903893-96-000188-index.html
1000097|KINGDON CAPITAL MANAGEMENT CORP|SC 13D/A|1996-05-30|edgar/data/1000097/0000919574-96-000505.txt|edgar/data/1000097/0000919574-96-000505-index.html
1000097|KINGDON CAPITAL MANAGEMENT CORP|SC 13D|1996-04-09|edgar/data/1000097/0000950116-96-000220.txt|edgar/data/1000097/0000950116-96-000220-index.html
1000097|KINGDON CAPITAL MANAGEMENT CORP|SC 13D|1996-05-20|edgar/data/1000097/0000919574-96-000494.txt|edgar/data/1000097/0000919574-96-000494-index.html
1000097|KINGDON CAPITAL MANAGEMENT CORP|SC 13D|1996-06-26|edgar/data/1000097/0000919574-96-000565.txt|edgar/data/1000097/0000919574-96-000565-index.html
1000112|CHEVY CHASE MASTER CREDIT CARD TRUST II|8-K|1996-05-29|edgar/data/1000112/0001000112-96-000003.txt|edgar/data/1000112/0001000112-96-000003-index.html
1000161|UNION PROPERTY INVESTORS INC|10QSB|1996-05-15|edgar/data/1000161/0000912057-96-010023.txt|edgar/data/1000161/0000912057-96-010023-index.html
1000162|EUROVENTURES BENELUX I B V|SC 13D/A|1996-04-18|edgar/data/1000162/0000950149-96-000395.txt|edgar/data/1000162/0000950149-96-000395-index.html
1000162|EUROVENTURES BENELUX I B V|SC 13D/A|1996-04-24|edgar/data/1000162/0000950149-96-000420.txt|edgar/data/1000162/0000950149-96-000420-index.html
1000166|SONICS & MATERIALS INC|10QSB|1996-05-13|edgar/data/1000166/0000950117-96-000426.txt|edgar/data/1000166/0000950117-96-000426-index.html
1000166|SONICS & MATERIALS INC|8-A12G|1996-05-21|edgar/data/1000166/0000915656-96-000061.txt|edgar/data/1000166/0000915656-96-000061-index.html
1000176|FAST BARRY E|SC 13D/A|1996-05-15|edgar/data/1000176/0000931467-96-000018.txt|edgar/data/1000176/0000931467-96-000018-index.html
