1000184|SAP SE|SC 13G|2015-10-19|edgar/data/1000184/0001567619-15-001376.txt|edgar/data/1000184/0001567619-15-001376-index.html
1000191|RIVERSOURCE VARIABLE ACCOUNT 10|497J|2015-10-06|edgar/data/1000191/0001193125-15-338113.txt|edgar/data/1000191/0001193125-15-338113-index.html
1000191|RIVERSOURCE VARIABLE ACCOUNT 10|497|2015-11-16|edgar/data/1000191/0001193125-15-377224.txt|edgar/data/1000191/0001193125-15-377224-index.html
1000191|RIVERSOURCE VARIABLE ACCOUNT 10|497|2015-11-24|edgar/data/1000191/0001193125-15-386478.txt|edgar/data/1000191/0001193125-15-386478-index.html
1000209|MEDALLION FINANCIAL CORP|10-Q|2015-11-09|edgar/data/1000209/0001193125-15-372161.txt|edgar/data/1000209/0001193125-15-372161-index.html
1000209|MEDALLION FINANCIAL CORP|40-17G|2015-11-06|edgar/data/1000209/0001193125-15-370175.txt|edgar/data/1000209/0001193125-15-370175-index.html
1000209|MEDALLION FINANCIAL CORP|40-APP/A|2015-12-11|edgar/data/1000209/0001193125-15-401524.txt|edgar/data/1000209/0001193125-15-401524-index.html
1000209|MEDALLION FINANCIAL CORP|4|2015-11-06|edgar/data/1000209/0000899243-15-007722.txt|edgar/data/1000209/0000899243-15-007722-index.html
1000209|MEDALLION FINANCIAL CORP|8-K|2015-10-28|edgar/data/1000209/0001193125-15-356314.txt|edgar/data/1000209/0001193125-15-356314-index.html
1000209|MEDALLION FINANCIAL CORP|8-K|2015-11-03|edgar/data/1000209/0001193125-15-364286.txt|edgar/data/1000209/0001193125-15-364286-index.html
1000209|MEDALLION FINANCIAL CORP|8-K|2015-11-04|edgar/data/1000209/0001193125-15-366148.txt|edgar/data/1000209/0001193125-15-366148-index.html
1000209|MEDALLION FINANCIAL CORP|8-K|2015-12-29|edgar/data/1000209/0001193125-15-415937.txt|edgar/data/1000209/0001193125-15-415937-index.html
1000209|MEDALLION FINANCIAL CORP|APP WD/A|2015-12-11|edgar/data/1000209/0001193125-15-401499.txt|edgar/data/1000209/0001193125-15-401499-index.html
1000228|HENRY SCHEIN INC|10-Q|2015-11-04|edgar/data/1000228/0001000228-15-000035.txt|edgar/data/1000228/0001000228-15-000035-index.html
1000228|HENRY SCHEIN INC|4|2015-10-01|edgar/data/1000228/0001209191-15-072773.txt|edgar/data/1000228/0001209191-15-072773-index.html
1000228|HENRY SCHEIN INC|4|2015-10-01|edgar/data/1000228/0001209191-15-072774.txt|edgar/data/1000228/0001209191-15-072774-index.html
1000228|HENRY SCHEIN INC|4|2015-10-01|edgar/data/1000228/0001209191-15-072776.txt|edgar/data/1000228/0001209191-15-072776-index.html
1000228|HENRY SCHEIN INC|4|2015-10-01|edgar/data/1000228/0001209191-15-072780.txt|edgar/data/1000228/0001209191-15-072780-index.html
1000228|HENRY SCHEIN INC|4|2015-11-06|edgar/data/1000228/0001209191-15-078909.txt|edgar/data/1000228/0001209191-15-078909-index.html
1000228|HENRY SCHEIN INC|4|2015-11-06|edgar/data/1000228/0001209191-15-078913.txt|edgar/data/1000228/0001209191-15-078913-index.html
1000228|HENRY SCHEIN INC|4|2015-11-06|edgar/data/1000228/0001209191-15-078915.txt|edgar/data/1000228/0001209191-15-078915-index.html
1000228|HENRY SCHEIN INC|4|2015-11-10|edgar/data/1000228/0001209191-15-079324.txt|edgar/data/1000228/0001209191-15-079324-index.html
1000228|HENRY SCHEIN INC|4|2015-11-19|edgar/data/1000228/0001209191-15-081280.txt|edgar/data/1000228/0001209191-15-081280-index.html
1000228|HENRY SCHEIN INC|4|2015-12-11|edgar/data/1000228/0001209191-15-084798.txt|edgar/data/1000228/0001209191-15-084798-index.html
1000228|HENRY SCHEIN INC|4|2015-12-11|edgar/data/1000228/0001209191-15-084803.txt|edgar/data/1000228/0001209191-15-084803-index.html
1000228|HENRY SCHEIN INC|4|2015-12-21|edgar/data/1000228/0001209191-15-086371.txt|edgar/data/1000228/0001209191-15-086371-index.html
1000228|HENRY SCHEIN INC|8-K|2015-11-04|edgar/data/1000228/0001000228-15-000033.txt|edgar/data/1000228/0001000228-15-000033-index.html
1000229|CORE LABORATORIES N V|10-Q|2015-10-23|edgar/data/1000229/0001000229-15-000124.txt|edgar/data/1000229/0001000229-15-000124-index.html
1000229|CORE LABORATORIES N V|4|2015-10-02|edgar/data/1000229/0001000229-15-000114.txt|edgar/data/1000229/0001000229-15-000114-index.html
1000229|CORE LABORATORIES N V|4|2015-10-02|edgar/data/1000229/0001000229-15-000115.txt|edgar/data/1000229/0001000229-15-000115-index.html
1000229|CORE LABORATORIES N V|4|2015-12-02|edgar/data/1000229/0001000229-15-000126.txt|edgar/data/1000229/0001000229-15-000126-index.html
1000229|CORE LABORATORIES N V|8-K|2015-10-13|edgar/data/1000229/0001000229-15-000117.txt|edgar/data/1000229/0001000229-15-000117-index.html
1000229|CORE LABORATORIES N V|8-K|2015-10-21|edgar/data/1000229/0001000229-15-000121.txt|edgar/data/1000229/0001000229-15-000121-index.html
1000230|OPTICAL CABLE CORP|4|2015-11-03|edgar/data/1000230/0001209191-15-077915.txt|edgar/data/1000230/0001209191-15-077915-index.html
1000230|OPTICAL CABLE CORP|8-K|2015-10-20|edgar/data/1000230/0001437749-15-018628.txt|edgar/data/1000230/0001437749-15-018628-index.html
1000230|OPTICAL CABLE CORP|SC 13D|2015-12-18|edgar/data/1000230/0000948520-15-000074.txt|edgar/data/1000230/0000948520-15-000074-index.html
1000232|KENTUCKY BANCSHARES INC /KY/|10-Q|2015-11-16|edgar/data/1000232/0001104659-15-079218.txt|edgar/data/1000232/0001104659-15-079218-index.html
1000232|KENTUCKY BANCSHARES INC /KY/|4|2015-12-16|edgar/data/1000232/0001179110-15-016320.txt|edgar/data/1000232/0001179110-15-016320-index.html
1000232|KENTUCKY BANCSHARES INC /KY/|4|2015-12-29|edgar/data/1000232/0001179110-15-016757.txt|edgar/data/1000232/0001179110-15-016757-index.html
1000232|KENTUCKY BANCSHARES INC /KY/|4|2015-12-29|edgar/data/1000232/0001179110-15-016758.txt|edgar/data/1000232/0001179110-15-016758-index.html
1000232|KENTUCKY BANCSHARES INC /KY/|8-K|2015-10-30|edgar/data/1000232/0001000232-15-000009.txt|edgar/data/1000232/0001000232-15-000009-index.html
1000249|FIRST EAGLE VARIABLE FUNDS|497|2015-12-09|edgar/data/1000249/0000930413-15-004699.txt|edgar/data/1000249/0000930413-15-004699-index.html
1000249|FIRST EAGLE VARIABLE FUNDS|497|2015-12-31|edgar/data/1000249/0000930413-15-004887.txt|edgar/data/1000249/0000930413-15-004887-index.html
1000249|FIRST EAGLE VARIABLE FUNDS|N-Q|2015-11-19|edgar/data/1000249/0001104659-15-080155.txt|edgar/data/1000249/0001104659-15-080155-index.html
1000275|ROYAL BANK OF CANADA|10-D|2015-10-15|edgar/data/1000275/0001214659-15-007120.txt|edgar/data/1000275/0001214659-15-007120-index.html
