1000015|META GROUP INC|10-Q|2002-11-14|edgar/data/1000015/0001104659-02-006330.txt|edgar/data/1000015/0001104659-02-006330-index.html
1000015|META GROUP INC|8-K|2002-12-24|edgar/data/1000015/0001047469-02-008266.txt|edgar/data/1000015/0001047469-02-008266-index.html
1000015|META GROUP INC|S-8|2002-12-20|edgar/data/1000015/0001047469-02-007734.txt|edgar/data/1000015/0001047469-02-007734-index.html
1000045|NICHOLAS FINANCIAL INC|10QSB|2002-11-13|edgar/data/1000045/0001000045-02-000019.txt|edgar/data/1000045/0001000045-02-000019-index.html
1000045|NICHOLAS FINANCIAL INC|SC 13G/A|2002-11-27|edgar/data/1000045/0000897069-02-000937.txt|edgar/data/1000045/0000897069-02-000937-index.html
1000048|TECHNOLOGY FLAVORS & FRAGRANCES INC|10QSB|2002-10-23|edgar/data/1000048/0001104659-02-005015.txt|edgar/data/1000048/0001104659-02-005015-index.html
1000048|TECHNOLOGY FLAVORS & FRAGRANCES INC|8-K|2002-11-07|edgar/data/1000048/0001104659-02-005334.txt|edgar/data/1000048/0001104659-02-005334-index.html
1000050|LENOX BANCORP INC|10QSB|2002-11-05|edgar/data/1000050/0000892251-02-000222.txt|edgar/data/1000050/0000892251-02-000222-index.html
1000050|LENOX BANCORP INC|8-K|2002-12-23|edgar/data/1000050/0000892251-02-000248.txt|edgar/data/1000050/0000892251-02-000248-index.html
1000056|CADRE FINANCIAL SERVICES INC                            /ADV|ADV-E|2002-11-01|edgar/data/1000056/9999999997-02-057077.txt|edgar/data/1000056/9999999997-02-057077-index.html
1000056|CADRE FINANCIAL SERVICES INC                            /ADV|ADV-E|2002-11-06|edgar/data/1000056/9999999997-02-057366.txt|edgar/data/1000056/9999999997-02-057366-index.html
1000069|TEXAS CAPITAL VALUE FUNDS INC|24F-2NT|2002-12-19|edgar/data/1000069/0001000069-02-000018.txt|edgar/data/1000069/0001000069-02-000018-index.html
1000069|TEXAS CAPITAL VALUE FUNDS INC|N-30D|2002-11-21|edgar/data/1000069/0001000069-02-000014.txt|edgar/data/1000069/0001000069-02-000014-index.html
1000069|TEXAS CAPITAL VALUE FUNDS INC|NSAR-B|2002-11-21|edgar/data/1000069/0001000069-02-000015.txt|edgar/data/1000069/0001000069-02-000015-index.html
1000072|LIPPER FUNDS INC|40-8F-A|2002-12-17|edgar/data/1000072/0000950110-02-000862.txt|edgar/data/1000072/0000950110-02-000862-index.html
1000077|SMITH BARNEY CONCERT SERIES INC|N-30D|2002-10-04|edgar/data/1000077/0000950130-02-006901.txt|edgar/data/1000077/0000950130-02-006901-index.html
1000097|KINGDON CAPITAL MANAGEMENT LLC|13F-HR|2002-11-14|edgar/data/1000097/0000919574-02-001929.txt|edgar/data/1000097/0000919574-02-001929-index.html
1000112|CC MASTER CREDIT CARD TRUST II|8-K/A|2002-12-23|edgar/data/1000112/0000950109-02-006317.txt|edgar/data/1000112/0000950109-02-006317-index.html
1000112|CC MASTER CREDIT CARD TRUST II|8-K|2002-10-15|edgar/data/1000112/0000950109-02-005079.txt|edgar/data/1000112/0000950109-02-005079-index.html
1000112|CC MASTER CREDIT CARD TRUST II|8-K|2002-11-15|edgar/data/1000112/0000950109-02-005887.txt|edgar/data/1000112/0000950109-02-005887-index.html
1000112|CC MASTER CREDIT CARD TRUST II|8-K|2002-12-16|edgar/data/1000112/0000950168-02-003785.txt|edgar/data/1000112/0000950168-02-003785-index.html
1000119|AIRBORNE FTZ INC|424B1|2002-11-07|edgar/data/1000119/0001032210-02-001531.txt|edgar/data/1000119/0001032210-02-001531-index.html
1000119|AIRBORNE FTZ INC|POS AM|2002-11-05|edgar/data/1000119/0001032210-02-001506.txt|edgar/data/1000119/0001032210-02-001506-index.html
1000120|WILMINGTON AIR PARK INC|424B1|2002-11-07|edgar/data/1000120/0001032210-02-001531.txt|edgar/data/1000120/0001032210-02-001531-index.html
1000120|WILMINGTON AIR PARK INC|POS AM|2002-11-05|edgar/data/1000120/0001032210-02-001506.txt|edgar/data/1000120/0001032210-02-001506-index.html
1000157|DATAWAVE SYSTEMS INC|6-K|2002-11-12|edgar/data/1000157/0001085037-02-000629.txt|edgar/data/1000157/0001085037-02-000629-index.html
1000166|SONICS & MATERIALS INC|10KSB/A|2002-10-18|edgar/data/1000166/0001072613-02-001559.txt|edgar/data/1000166/0001072613-02-001559-index.html
1000166|SONICS & MATERIALS INC|15-12G|2002-10-21|edgar/data/1000166/0001072613-02-001567.txt|edgar/data/1000166/0001072613-02-001567-index.html
1000166|SONICS & MATERIALS INC|8-K|2002-10-21|edgar/data/1000166/0001072613-02-001568.txt|edgar/data/1000166/0001072613-02-001568-index.html
1000177|NORDIC AMERICAN TANKER SHIPPING LTD|6-K|2002-10-18|edgar/data/1000177/0000919574-02-001601.txt|edgar/data/1000177/0000919574-02-001601-index.html
1000177|NORDIC AMERICAN TANKER SHIPPING LTD|6-K|2002-11-08|edgar/data/1000177/0000919574-02-001852.txt|edgar/data/1000177/0000919574-02-001852-index.html
1000180|SANDISK CORP|10-Q|2002-11-13|edgar/data/1000180/0001021408-02-013913.txt|edgar/data/1000180/0001021408-02-013913-index.html
1000180|SANDISK CORP|8-K|2002-10-23|edgar/data/1000180/0001012870-02-004093.txt|edgar/data/1000180/0001012870-02-004093-index.html
1000180|SANDISK CORP|8-K|2002-11-06|edgar/data/1000180/0001012870-02-004227.txt|edgar/data/1000180/0001012870-02-004227-index.html
1000180|SANDISK CORP|8-K|2002-11-13|edgar/data/1000180/0001021408-02-013916.txt|edgar/data/1000180/0001021408-02-013916-index.html
1000180|SANDISK CORP|S-3/A|2002-11-12|edgar/data/1000180/0001012870-02-004325.txt|edgar/data/1000180/0001012870-02-004325-index.html
1000180|SANDISK CORP|S-3|2002-10-01|edgar/data/1000180/0001012870-02-003949.txt|edgar/data/1000180/0001012870-02-003949-index.html
1000180|SANDISK CORP|S-3|2002-12-13|edgar/data/1000180/0001012870-02-004667.txt|edgar/data/1000180/0001012870-02-004667-index.html
1000184|SAP AKTIENGESELLSCHAFT SYSTEMS APPLICATIONS PRODUCTS IN DATA|6-K|2002-10-17|edgar/data/1000184/0001156973-02-000591.txt|edgar/data/1000184/0001156973-02-000591-index.html
