1000228|HENRY SCHEIN INC|8-K|2021-08-03|edgar/data/1000228/0001000228-21-000058.txt|edgar/data/1000228/0001000228-21-000058-index.html
1000228|HENRY SCHEIN INC|8-K|2021-08-23|edgar/data/1000228/0001193125-21-253351.txt|edgar/data/1000228/0001193125-21-253351-index.html
1000229|CORE LABORATORIES N V|10-Q|2021-07-30|edgar/data/1000229/0000950170-21-000619.txt|edgar/data/1000229/0000950170-21-000619-index.html
1000229|CORE LABORATORIES N V|3|2021-07-12|edgar/data/1000229/0001209191-21-046320.txt|edgar/data/1000229/0001209191-21-046320-index.html
1000229|CORE LABORATORIES N V|4|2021-07-06|edgar/data/1000229/0001209191-21-045487.txt|edgar/data/1000229/0001209191-21-045487-index.html
1000229|CORE LABORATORIES N V|8-K|2021-07-28|edgar/data/1000229/0000950170-21-000572.txt|edgar/data/1000229/0000950170-21-000572-index.html
1000230|OPTICAL CABLE CORP|10-Q|2021-09-13|edgar/data/1000230/0001437749-21-021978.txt|edgar/data/1000230/0001437749-21-021978-index.html
1000230|OPTICAL CABLE CORP|4|2021-09-16|edgar/data/1000230/0001437749-21-022278.txt|edgar/data/1000230/0001437749-21-022278-index.html
1000230|OPTICAL CABLE CORP|4|2021-09-16|edgar/data/1000230/0001437749-21-022280.txt|edgar/data/1000230/0001437749-21-022280-index.html
1000230|OPTICAL CABLE CORP|8-K|2021-09-14|edgar/data/1000230/0001437749-21-022111.txt|edgar/data/1000230/0001437749-21-022111-index.html
1000249|FIRST EAGLE VARIABLE FUNDS|N-CSRS|2021-09-07|edgar/data/1000249/0001104659-21-113323.txt|edgar/data/1000249/0001104659-21-113323-index.html
1000249|FIRST EAGLE VARIABLE FUNDS|N-PX|2021-08-10|edgar/data/1000249/0001000249-21-000001.txt|edgar/data/1000249/0001000249-21-000001-index.html
1000249|FIRST EAGLE VARIABLE FUNDS|NPORT-P|2021-08-26|edgar/data/1000249/0001752724-21-187005.txt|edgar/data/1000249/0001752724-21-187005-index.html
1000253|GULF BIOMEDICAL CORP|REVOKED|2021-08-11|edgar/data/1000253/9999999997-21-004488.txt|edgar/data/1000253/9999999997-21-004488-index.html
1000264|ALGER ASSOCIATES INC|SC 13G/A|2021-07-09|edgar/data/1000264/0001193125-21-211874.txt|edgar/data/1000264/0001193125-21-211874-index.html
1000264|ALGER ASSOCIATES INC|SC 13G/A|2021-07-09|edgar/data/1000264/0001193125-21-211977.txt|edgar/data/1000264/0001193125-21-211977-index.html
1000264|ALGER ASSOCIATES INC|SC 13G/A|2021-08-10|edgar/data/1000264/0001193125-21-241797.txt|edgar/data/1000264/0001193125-21-241797-index.html
1000264|ALGER ASSOCIATES INC|SC 13G/A|2021-09-10|edgar/data/1000264/0001193125-21-269969.txt|edgar/data/1000264/0001193125-21-269969-index.html
1000264|ALGER ASSOCIATES INC|SC 13G/A|2021-09-10|edgar/data/1000264/0001193125-21-269979.txt|edgar/data/1000264/0001193125-21-269979-index.html
1000264|ALGER ASSOCIATES INC|SC 13G/A|2021-09-10|edgar/data/1000264/0001193125-21-269980.txt|edgar/data/1000264/0001193125-21-269980-index.html
1000264|ALGER ASSOCIATES INC|SC 13G/A|2021-09-10|edgar/data/1000264/0001193125-21-269988.txt|edgar/data/1000264/0001193125-21-269988-index.html
1000264|ALGER ASSOCIATES INC|SC 13G/A|2021-09-10|edgar/data/1000264/0001193125-21-269994.txt|edgar/data/1000264/0001193125-21-269994-index.html
1000264|ALGER ASSOCIATES INC|SC 13G|2021-07-09|edgar/data/1000264/0001193125-21-211810.txt|edgar/data/1000264/0001193125-21-211810-index.html
1000264|ALGER ASSOCIATES INC|SC 13G|2021-07-09|edgar/data/1000264/0001193125-21-211865.txt|edgar/data/1000264/0001193125-21-211865-index.html
1000275|ROYAL BANK OF CANADA|13F-HR/A|2021-07-20|edgar/data/1000275/0001567619-21-013701.txt|edgar/data/1000275/0001567619-21-013701-index.html
1000275|ROYAL BANK OF CANADA|13F-HR|2021-08-16|edgar/data/1000275/0001567619-21-015705.txt|edgar/data/1000275/0001567619-21-015705-index.html
